VegType,TransectSectionNumber,SectionAreaMetresSq,TransectCode,Transect Name,TransectSectionCode,Notes,Island
OMX,8,500,PDB,Station Back Path Mixed Scrub,PDB08,,Picard
OMX,9,500,PDB,Station Back Path Mixed Scrub,PDB09,,Picard
SMX,10,500,PDB,Station Back Path Mixed Scrub,PDB10,,Picard
SMX,11,500,PDB,Station Back Path Mixed Scrub,PDB11,,Picard
SMX,12,500,PDB,Station Back Path Mixed Scrub,PDB12,,Picard
SMX,13,500,PDB,Station Back Path Mixed Scrub,PDB13,,Picard
SMX,14,500,PDB,Station Back Path Mixed Scrub,PDB14,,Picard
SMX,15,500,PDB,Station Back Path Mixed Scrub,PDB15,,Picard
SMX,16,500,PDB,Station Back Path Mixed Scrub,PDB16,,Picard
SMX,17,500,PDB,Station Back Path Mixed Scrub,PDB17,,Picard
SMX,18,500,PDB,Station Back Path Mixed Scrub,PDB18,,Picard
SMX,19,500,PDB,Station Back Path Mixed Scrub,PDB19,,Picard
SMX,20,500,PDB,Station Back Path Mixed Scrub,PDB20,,Picard
SMX,21,500,PDB,Station Back Path Mixed Scrub,PDB21,,Picard
SMX,22,500,PDB,Station Back Path Mixed Scrub,PDB22,,Picard
SMX,23,500,PDB,Station Back Path Mixed Scrub,PDB23,,Picard
SMX,24,500,PDB,Station Back Path Mixed Scrub,PDB24,,Picard
EXP,25,500,PDB,Station Back Path Mixed Scrub,PDB25,,Picard
EXP,26,500,PDB,Station Back Path Mixed Scrub,PDB26,,Picard
SMX,27,500,PDB,Station Back Path Mixed Scrub,PDB27,,Picard
SMX,28,500,PDB,Station Back Path Mixed Scrub,PDB28,,Picard
SMX,29,500,PDB,Station Back Path Mixed Scrub,PDB29,,Picard
SMX,30,500,PDB,Station Back Path Mixed Scrub,PDB30,,Picard
OMX,31,500,PDB,Station Back Path Mixed Scrub,PDB31,,Picard
OMX,32,500,PDB,Station Back Path Mixed Scrub,PDB32,,Picard
OMX,33,500,PDB,Station Back Path Mixed Scrub,PDB33,,Picard
OMX,34,500,PDB,Station Back Path Mixed Scrub,PDB34,,Picard
OMX,35,500,PDB,Station Back Path Mixed Scrub,PDB35,,Picard
SMX,36,500,PDB,Station Back Path Mixed Scrub,PDB36,,Picard
SMX,37,500,PDB,Station Back Path Mixed Scrub,PDB37,,Picard
SMX,38,500,PDB,Station Back Path Mixed Scrub,PDB38,,Picard
PEM,39,500,PDB,Station Back Path Mixed Scrub,PDB39,,Picard
PEM,40,500,PDB,Station Back Path Mixed Scrub,PDB40,,Picard
